exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
harp,musical instruments,16.0,15,0.7941176470588235,3
clarinet,musical instruments,17.25,11,0.9516129032258065,3
harpsichord,musical instruments,14.4230769230769,24,0.7941176470588235,3
harmonica,musical instruments,15.7142857142857,18,0.7142857142857143,3
organ,musical instruments,16.1785714285714,14,0.7162162162162162,3
pan flute,musical instruments,14.25,27,0.7083333333333334,3
piano,musical instruments,19.4285714285714,1,0.6962025316455697,3
saxophone,musical instruments,18.4642857142857,4,0.8142857142857143,3
synthesizer,musical instruments,15.6785714285714,19,0.7123287671232876,3
tambourine,musical instruments,14.3333333333333,25,0.6714285714285714,3
triangle,musical instruments,14.5357142857142,23,0.5866666666666667,3
trombone,musical instruments,15.9259259259259,16,0.7534246575342466,3
drum,musical instruments,16.6071428571428,13,0.6857142857142857,3
trumpet,musical instruments,18.4444444444444,5,0.7638888888888888,3
violin,musical instruments,18.8571428571428,3,0.7857142857142857,3
bazooka,weapons,18.5,4,0.4418604651162791,5
knuckle dusters,weapons,11.1071428571428,15,0.5625,5
bow,weapons,11.3571428571428,14,0.7258064516129032,5
dagger,weapons,17.2142857142857,6,0.5569620253164557,5
rifle,weapons,19.3928571428571,2,0.5348837209302325,5
grenade,weapons,17.3214285714285,5,0.5882352941176471,5
canon,weapons,16.9642857142857,8,0.5,5
slingshot,weapons,11.5714285714285,13,1.0,5
club,weapons,14.3928571428571,10,0.6984126984126984,5
machine gun,weapons,18.8571428571428,3,0.5180722891566265,5
pistol,weapons,19.4285714285714,1,0.5294117647058824,5
shield,weapons,7.10714285714285,18,0.5,5
spear,weapons,13.8928571428571,11,0.746031746031746,5
stick,weapons,9.0,17,0.5692307692307692,5
tank,weapons,13.1428571428571,12,0.625,4
double barrelled shotgun,weapons,16.5714285714285,9,0.5,5
sword,weapons,17.0714285714285,7,0.5921052631578947,5
whip,weapons,9.85714285714285,16,0.711864406779661,5
