attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
is a pet,mammals,,False,0.301848,4.666667,0.000000
is a pet,reptiles,,False,0.301848,4.666667,0.000000
mothballs as a remedy,insects,2,True,0.006160,3.166667,0.000000
is tinned,fish,,False,0.041068,4.833333,0.000000
pig nose,mammals,1,True,0.002053,3.083333,0.040000
long teeth,fish,5,True,0.004107,,0.111111
long teeth,mammals,5,True,0.004107,4.000000,0.111111
long teeth,reptiles,5,True,0.004107,,0.111111
is white,birds,,False,0.238193,2.750000,0.000000
is white,fish,,False,0.238193,3.500000,0.000000
is white,insects,,False,0.238193,2.916667,0.000000
is white,mammals,,False,0.238193,2.166667,0.000000
is white,reptiles,,False,0.238193,,0.000000
lives nearby ponds,birds,"1, 2, 3, 5",False,0.010267,,0.090909
lives nearby ponds,fish,"1, 2, 3, 5",False,0.010267,,0.090909
lives nearby ponds,insects,"1, 2, 3, 5",False,0.010267,,0.090909
lives nearby ponds,reptiles,"1, 2, 3, 5",False,0.010267,4.666667,0.090909
can climb well,mammals,,False,0.016427,3.750000,0.000000
can climb well,reptiles,,False,0.016427,5.000000,0.000000
dark colour,birds,1,True,0.059548,3.416667,0.122642
dark colour,fish,1,True,0.059548,3.833333,0.122642
dark colour,insects,1,True,0.059548,4.916667,0.122642
dark colour,mammals,1,True,0.059548,,0.122642
dark colour,reptiles,1,True,0.059548,,0.122642
hunts chicken,birds,,False,0.004107,,0.000000
hunts chicken,mammals,,False,0.004107,3.333333,0.000000
hunts chicken,reptiles,,False,0.004107,,0.000000
has two eyes,birds,"1, 5",False,0.049281,6.000000,0.310078
has two eyes,fish,"1, 5",False,0.049281,,0.310078
has two eyes,insects,"1, 5",False,0.049281,4.583333,0.310078
has two eyes,mammals,"1, 5",False,0.049281,6.000000,0.310078
has two eyes,reptiles,"1, 5",False,0.049281,6.166667,0.310078
makes holes in clothing,insects,2,True,0.024641,3.750000,0.027027
makes holes in clothing,mammals,2,True,0.024641,,0.027027
is in a cuckoo clock,birds,"1, 2, 3, 4",False,0.022587,3.250000,0.008772
